"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Alcantara, Sandy","645261","97.5","97.3","90","85.2","90.9","83.4",,,"84.4",
"Luzardo, Jesús","666200","97","95.9",,,"86.2",,,,"86.3",
"Schlittler, Cam","693645","97.8","97.7","94.6","89.6",,"85.4",,,,
"Skenes, Paul","694973","96.9","96.7",,"86.6","88.7","81.8","93.4",,"84.2",
"Sánchez, Cristopher","650911",,"95.2",,"86.2","87",,,,,
"Peralta, Freddy","642547","94.2",,,"83.1","87.3","78.8",,,"81.7",
"McLean, Nolan","690997","96.1","95.1","91.9","87.3","88.1","81.8",,,"84.9",
"Griffin, Foster","656492","91.4","91.3","88.3",,"82.2","77.8","81.2",,"79.9",
"Ray, Robbie","592662","93.2","92.4",,"85.9","86","79.5",,,,
"Gore, MacKenzie","669022","95.4","95.3","89.9","85.7","86.7","81.8",,,,
"Wacha, Michael","608379","93.1","93.2","89.3","85","80.5","76.1",,,,
"Detmers, Reid","672282","94.1","93.5",,"86.1","83.6","72.3",,,,
"Soriano, José","667755","97.2","96.4",,"90.2",,"85.3","92.3",,,
"Bibee, Tanner","676440","94","93.4","86",,"81.1","78",,,"82.8",
"Rodriguez, Eduardo","593958","92","91.5","88.6",,"85.9","79.6",,,,
"Gausman, Kevin","592332","93.9",,,"84.1",,,"84",,,
"Bradley, Taj","671737","96.9",,"89.7",,,"82.1","91.3",,,
"Williams, Gavin","668909","97.2","96.7","92.3",,,"82.7",,,"87.4",
"Cease, Dylan","656302","97.5","96.2",,"89.2","82.8","82.5",,,"83.9",
"King, Michael","650633","94","92.9",,"84.8","86.3",,,,"81.9",
"Abbott, Andrew","671096","92.6",,"88.5",,"85.9","79.7",,,"82.2",
"Roupp, Landen","694738","93","93.4","88.9",,"87.2","76.7",,,,
"Baz, Shane","669358","96.1","95.2","89.6",,"88.1","85.3",,,,
"Burke, Sean","680732","94.9","94.6","90.7","86.9","86","79.7",,,,
"Ryan, Joe","657746","93.5","93.1",,"85.9",,"78.9","87.9",,"80.5",
"Cantillo, Joey","676282","92.1",,"87.3","82.8","80.7","80",,,,
"Imanaga, Shota","684007","91.7","90.2",,"86.5",,"74.4","83",,"81.3",
"Lugo, Seth","607625","91.6","91.4","89.8","84.2","84.8","76",,,"79.1","77.3"
"Nola, Aaron","605400","92.2","91.6","86.2","83.2","85.6","78.2",,,,
"Gilbert, Logan","669302","96","93.1","91.1","86.4","85.4","80.7","81.6",,"76.5",
"Cavalli, Cade","676917","96.7","96.1","93.6",,"88.8","85.6",,,"85.8",
"Bradish, Kyle","680694","94","94.7",,"87.3",,"84.7",,,,
"Yamamoto, Yoshinobu","808967","96","95.4","91.4","87.1",,"77.1","91.5",,,
"Cameron, Noah","702070","92.4","91.5","89.7","85.2","80.9","81.8",,,,
"Lorenzen, Michael","547179","94","93.4","90.2","86.2","84.7","82.8",,,"82.7",
"Eovaldi, Nathan","543135","94.6","93.6","90.5","86.3",,"76.4","88.5",,,
"Pallante, Andre","669467","95.2","95.4",,"87.6",,"78.3","88.3",,,
"Messick, Parker","800048","94","92.5","90.5","86.8","85.7","79.1",,,,
"Weathers, Ryan","677960","95.8","94.2",,"87.1","85.7",,,,"81.3",
"Kay, Anthony","641743","95.8","95.1","91.3","86.2","86",,,,"82.6",
"Meyer, Max","676974","95.1","93.6",,"90.1","87.2",,,,"89",
"McGreevy, Michael","700241","91.7","90.6","87","83.5","86.8","78.2",,,"81.6",
"Ashcraft, Braxton","677952","97.2","96.9",,"91.8",,"85","91.8",,,
"Singer, Brady","663903","90.7","91.3","87.1","82.5",,,,,"81.7",
"Sale, Chris","519242","96.1","95.5",,"79.5","88.3",,,,,
"Woo, Bryan","693433","95.8","95.6",,"86.9","89.5","82.4",,,"84.4",
"Burns, Chase","695505","97.8",,,"90.4","90.1","81.9",,,,
"Rea, Colin","607067","93.7","92.3","87","86.1","87.6","79.8",,,"82.9",
"Springs, Jeffrey","605488","91.4",,"88.4","84","79.5",,,,"77",
"Martin, Davis","663436","94.1","92.8","89.7","87.2","90.3","81.8",,,,
"Kirby, George","669923","96.6","96.9","93.1",,"88.8","83.9",,,"87.2",
"Valdez, Framber","664285","95","93.9",,"85.9","89.1","78.6",,,,
"Keller, Mitch","656605","93.4","92.3","89.7","87.4","88.8","77.9",,,"82.1",
"Ginn, J.T.","669372","93.6","93.5","90.4","85.6","87.9",,,,,
"Misiorowski, Jacob","694819","100.5",,"96","92.2","92.5","88",,,,
"Chandler, Bubba","696149","98.6","98",,"90.3","91.8","85.5",,,"87.6",
"Elder, Bryce","693821","92.6","91.2","88.6","83.2","85.7",,,,,
"deGrom, Jacob","594798","97.2","96.2",,"91.1","89.8","80.7",,,,
"Cecconi, Slade","677944","93.2","93.3","88.2","83.4","82.9","75.8","84.4",,"81.6",
"Webb, Logan","657277","92.4","92.1","89.9",,"86",,,,"84.2",
"Rogers, Trevor","669432","93.5","93.2","82.9",,"87.2",,,,"78.2",
"May, Dustin","669160","96.9","96.6","93.4",,"90.5","83.4",,,"86",
"Warren, Will","701542","93.6","93.3",,,"86.9","81.1",,,"84.1",
"Castillo, Luis","622491","95.3","95.4","92.3","85.4","87.5",,,,,
"Liberatore, Matthew","669461","94.4","94.4","90.7","86.5","88.7","79.6","87",,"86.5",
"Kelly, Merrill","518876","92.2","92.5","91.1","86.5","88.6","82.6",,,,
"Martinez, Nick","607259","92.8","92.5","89.2","85.9","78.4","80",,,,
"Flaherty, Jack","656427","92.7","90.9",,"85","85.4","78.1",,,,
"Rasmussen, Drew","656876","96","95.5","90.1",,"90","80.4",,,"84.5",
"Gallen, Zac","668678","93.4","92.8",,"88.7","86.6","81.6",,,,
"Buehler, Walker","621111","94","94.1","90.2","87","89.1","78.3",,,"82.7",
"Hancock, Emerson","676106","95.4","94.8","85.5",,"87.3","75.8",,,"77.1",
"Lambert, Peter","663567","93.9","93.3","91.5","85.7","87.1","77.9",,,"82.5","79.8"
"Sasaki, Roki","808963","97.8",,,"86.6",,,"90.2",,,
