"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2026","Misiorowski, Jacob","694819","Brewers","MIL","R","100.5","1084","1725",16.58653846153846,0.6284057971014493,"FF","4-Seam Fastball",11.6,-11.8,0.3,"2",15.6,10.9,-10.3,0.6,"6",0.5857843137254902,0.5612745098039216
"2026","Peralta, Freddy","642547","Mets","NYM","R","94.2","1063","2000",19.047619047619047,0.5315,"FF","4-Seam Fastball",14.4,-15.8,1.4,"9",16.6,7.1,-8.8,-1.7,"-20",0.8333333333333334,0.2696078431372549
"2026","Burns, Chase","695505","Reds","CIN","R","97.8","1009","1768",17.16504854368932,0.5707013574660633,"FF","4-Seam Fastball",10,-11.8,1.8,"15",18.7,3.6,-6,-2.4,"-41",0.8848039215686274,0.2181372549019608
"2026","Gausman, Kevin","592332","Blue Jays","TOR","R","93.9","1005","1948",18.552380952380954,0.5159137577002053,"FF","4-Seam Fastball",14.2,-14.8,0.6,"4",16.9,11,-7.3,3.6,"49",0.6593137254901961,0.9093137254901961
"2026","Bradley, Taj","671737","Twins","MIN","R","96.9","913","1948",18.37735849056604,0.4686858316221766,"FF","4-Seam Fastball",10.7,-12.9,2.2,"17",18.5,5.4,-6.9,-1.5,"-22",0.9215686274509803,0.2916666666666667
"2026","Schlittler, Cam","693645","Yankees","NYY","R","97.9","893","2016",19.384615384615383,0.4429563492063492,"FF","4-Seam Fastball",11.7,-12.3,0.6,"5",16.9,5.3,-6.8,-1.5,"-22",0.6593137254901961,0.2916666666666667
"2026","Gore, MacKenzie","669022","Rangers","TEX","L","95.4","892","1973",18.971153846153847,0.45210339584389253,"FF","4-Seam Fastball",13.9,-14.2,0.4,"2",16.3,6.6,-7.8,-1.2,"-15",0.6127450980392157,0.3333333333333333
"2026","Abbott, Andrew","671096","Reds","CIN","L","92.6","892","1926",18.699029126213592,0.46313603322949115,"FF","4-Seam Fastball",15.3,-15.2,0,"0",16.7,6.8,-7,-0.2,"-3",0.5245098039215687,0.4534313725490196
"2026","Detmers, Reid","672282","Angels","LAA","L","94.1","889","1964",18.704761904761906,0.4526476578411405,"FF","4-Seam Fastball",14,-14.6,0.6,"4",17.1,9.4,-7.2,2.2,"30",0.6593137254901961,0.7622549019607843
"2026","Ryan, Joe","657746","Twins","MIN","R","93.5","865","1897",17.89622641509434,0.45598313125988404,"FF","4-Seam Fastball",17.9,-17.9,0,"0",13.5,13.2,-11.6,1.6,"13",0.5245098039215687,0.6715686274509803
"2026","Harrison, Kyle","690986","Brewers","MIL","L","95","844","1457",14.009615384615385,0.5792724776938916,"FF","4-Seam Fastball",15.6,-16.1,0.5,"3",14.8,12.8,-9.8,3,"30",0.6372549019607843,0.8676470588235294
"2026","Woo, Bryan","693433","Mariners","SEA","R","95.8","838","1769",16.847619047619048,0.47371396269078575,"FF","4-Seam Fastball",15.2,-15.7,0.5,"3",14.7,10.7,-9.8,0.9,"9",0.6372549019607843,0.6029411764705882
"2026","Skenes, Paul","694973","Pirates","PIT","R","96.9","828","2015",19.19047619047619,0.4109181141439206,"FF","4-Seam Fastball",16.2,-13.6,-2.6,"-19",13,12.5,-7.9,4.6,"58",0.11519607843137254,0.9607843137254902
"2026","Chandler, Bubba","696149","Pirates","PIT","R","98.6","820","1715",16.333333333333332,0.478134110787172,"FF","4-Seam Fastball",10.3,-12.6,2.3,"18",17.9,7.8,-7.6,0.2,"2",0.928921568627451,0.5073529411764706
"2026","Flaherty, Jack","656427","Tigers","DET","R","92.7","806","1639",15.60952380952381,0.4917632702867602,"FF","4-Seam Fastball",15.7,-16.4,0.7,"5",16.1,5.8,-8.3,-2.6,"-31",0.6813725490196079,0.19117647058823528
"2026","Imanaga, Shota","684007","Cubs","CHC","L","91.7","775","1884",18.115384615384617,0.4113588110403397,"FF","4-Seam Fastball",14.8,-16.8,1.9,"11",17.8,11,-7.9,3.1,"39",0.9019607843137255,0.8799019607843137
"2026","Rodriguez, Eduardo","593958","D-backs","AZ","L","92","765","1952",18.590476190476192,0.39190573770491804,"FF","4-Seam Fastball",16.4,-15.7,-0.7,"-5",15.8,6.4,-7,-0.6,"-9",0.3897058823529412,0.3897058823529412
"2026","Springs, Jeffrey","605488","Athletics","ATH","L","91.4","765","1753",16.85576923076923,0.43639475185396465,"FF","4-Seam Fastball",16.1,-15.8,-0.3,"-2",16.7,9.7,-6.8,2.9,"42",0.46568627450980393,0.8529411764705882
"2026","Rogers, Trevor","669432","Orioles","BAL","L","93.5","757","1689",16.085714285714285,0.448194197750148,"FF","4-Seam Fastball",15.8,-15,-0.8,"-5",15.6,10.6,-7.4,3.2,"44",0.3627450980392157,0.8872549019607843
"2026","Wrobleski, Justin","680736","Dodgers","LAD","L","94.3","756","1524",14.514285714285714,0.49606299212598426,"FF","4-Seam Fastball",14.6,-15.9,1.3,"8",16.1,6.2,-9.4,-3.1,"-33",0.8088235294117647,0.14950980392156862
"2026","Gilbert, Logan","669302","Mariners","SEA","R","96","742","1878",17.885714285714286,0.3951011714589989,"FF","4-Seam Fastball",12.6,-13.4,0.8,"6",17.2,6.1,-6.6,-0.5,"-8",0.7132352941176471,0.41421568627450983
"2026","Castillo, Luis","622491","Mariners","SEA","R","95.3","740","1676",15.961904761904762,0.441527446300716,"FF","4-Seam Fastball",17.4,-16.7,-0.8,"-5",12.7,12.1,-10.4,1.7,"17",0.3627450980392157,0.7009803921568627
"2026","Rea, Colin","607067","Cubs","CHC","R","93.7","739","1756",16.884615384615383,0.42084282460136674,"FF","4-Seam Fastball",17.6,-15.6,-2.1,"-13",13.4,8.6,-8.2,0.4,"5",0.15441176470588236,0.5441176470588235
"2026","Nelson, Ryne","669194","D-backs","AZ","R","96.3","734","1292",12.304761904761905,0.5681114551083591,"FF","4-Seam Fastball",10.5,-12.9,2.4,"19",19.1,2.8,-6.5,-3.7,"-57",0.9411764705882353,0.09803921568627451
"2026","Sale, Chris","519242","Braves","ATL","L","96.1","725","1772",17.03846153846154,0.40914221218961627,"FF","4-Seam Fastball",20,-16,-4,"-25",9.7,14.6,-10.4,4.3,"42",0.051470588235294115,0.9485294117647058
"2026","deGrom, Jacob","594798","Rangers","TEX","R","97.2","717","1702",16.365384615384617,0.4212690951821387,"FF","4-Seam Fastball",12.3,-13.5,1.3,"9",16.8,8.3,-7.9,0.3,"4",0.8088235294117647,0.5196078431372549
"2026","Burke, Sean","680732","White Sox","CWS","R","94.9","709","1908",18.524271844660195,0.37159329140461217,"FF","4-Seam Fastball",11.8,-13.6,1.8,"14",18.7,4.5,-6.5,-2,"-30",0.8848039215686274,0.24019607843137256
"2026","Cease, Dylan","656302","Blue Jays","TOR","R","97.5","700","1939",18.466666666666665,0.36101083032490977,"FF","4-Seam Fastball",10.3,-12.6,2.2,"18",18.5,3.4,-6.8,-3.4,"-51",0.9215686274509803,0.125
"2026","Ray, Robbie","592662","Giants","SF","L","93.2","688","1975",18.990384615384617,0.34835443037974684,"FF","4-Seam Fastball",14.1,-14.8,0.7,"5",17.4,9.2,-6.9,2.3,"33",0.6813725490196079,0.7720588235294118
"2026","Sasaki, Roki","808963","Dodgers","LAD","R","97.8","685","1610",15.333333333333334,0.4254658385093168,"FF","4-Seam Fastball",12.5,-12.1,-0.4,"-3",16.1,9.4,-6.6,2.8,"43",0.4534313725490196,0.8480392156862745
"2026","Pérez, Eury","691587","Marlins","MIA","R","98.2","679","1605",15.285714285714286,0.42305295950155763,"FF","4-Seam Fastball",10.6,-12.4,1.8,"15",18.1,11.2,-7.1,4.1,"57",0.8848039215686274,0.9387254901960784
"2026","Yesavage, Trey","702056","Blue Jays","TOR","R","94.4","668","1425",13.571428571428571,0.4687719298245614,"FF","4-Seam Fastball",11.2,-12.7,1.4,"11",19.5,4.2,-4.9,-0.8,"-15",0.8333333333333334,0.375
"2026","Mahle, Tyler","641816","Giants","SF","R","92.5","668","1391",13.375,0.4802300503235083,"FF","4-Seam Fastball",14.3,-16.2,1.8,"11",17.8,11.3,-7.9,3.4,"43",0.8848039215686274,0.9019607843137255
"2026","Sheehan, Emmet","686218","Dodgers","LAD","R","94.5","659","1553",14.790476190476191,0.42433998712169996,"FF","4-Seam Fastball",12.3,-15.1,2.8,"19",18.4,8.9,-8.2,0.7,"9",0.9656862745098039,0.5759803921568627
"2026","Cantillo, Joey","676282","Guardians","CLE","L","92.1","659","1888",17.81132075471698,0.3490466101694915,"FF","4-Seam Fastball",15.6,-15.8,0.2,"1",16.7,6.5,-7,-0.5,"-7",0.5661764705882353,0.41421568627450983
"2026","Cavalli, Cade","676917","Nationals","WSH","R","96.7","654","1866",17.771428571428572,0.3504823151125402,"FF","4-Seam Fastball",14.5,-13.3,-1.3,"-10",14.6,5.8,-7.2,-1.4,"-19",0.25980392156862747,0.3112745098039216
"2026","Tolle, Payton","801139","Red Sox","BOS","L","96","651","1360",13.20388349514563,0.4786764705882353,"FF","4-Seam Fastball",14.3,-14.2,-0.2,"-1",15.4,9.7,-8.5,1.2,"14",0.4852941176470588,0.6397058823529411
"2026","Baz, Shane","669358","Orioles","BAL","R","96.1","650","1925",18.333333333333332,0.33766233766233766,"FF","4-Seam Fastball",13.1,-13.9,0.8,"5",16.6,9.2,-7.6,1.6,"20",0.7132352941176471,0.6715686274509803
"2026","Warren, Will","701542","Yankees","NYY","R","93.6","645","1677",16.125,0.38461538461538464,"FF","4-Seam Fastball",16.1,-15.6,-0.5,"-3",15.2,7.7,-8.2,-0.5,"-6",0.42401960784313725,0.41421568627450983
"2026","Messick, Parker","800048","Guardians","CLE","L","94","643","1823",17.19811320754717,0.35271530444322546,"FF","4-Seam Fastball",14.4,-15.5,1.1,"7",16.6,5.3,-8.3,-3,"-36",0.7524509803921569,0.16176470588235295
"2026","Hancock, Emerson","676106","Mariners","SEA","R","95.4","628","1627",15.495238095238095,0.3859864781807007,"FF","4-Seam Fastball",20.8,-16.1,-4.7,"-29",9.2,12,-9.9,2.1,"21",0.014705882352941176,0.75
"2026","López, Reynaldo","625643","Braves","ATL","R","94.4","622","1137",10.932692307692308,0.5470536499560247,"FF","4-Seam Fastball",14,-14.8,0.9,"6",16.7,7,-7.7,-0.7,"-9",0.7230392156862745,0.38480392156862747
"2026","Young, Brandon","687064","Orioles","BAL","R","94.3","608","1521",14.485714285714286,0.3997370151216305,"FF","4-Seam Fastball",13.1,-14.4,1.4,"10",17.7,5.6,-7.2,-1.6,"-23",0.8333333333333334,0.2818627450980392
"2026","Gallen, Zac","668678","D-backs","AZ","R","93.4","605","1636",15.58095238095238,0.3698044009779951,"FF","4-Seam Fastball",14.9,-14.8,-0.1,"-1",16.6,3.3,-7,-3.7,"-53",0.49264705882352944,0.09803921568627451
"2026","Ohtani, Shohei","660271","Dodgers","LAD","R","98.1","602","1335",12.714285714285714,0.450936329588015,"FF","4-Seam Fastball",14.3,-13.2,-1.1,"-8",14,5,-8,-3,"-38",0.30392156862745096,0.16176470588235295
"2026","Lauer, Eric","641778","Dodgers","LAD","L","91","581","1319",12.561904761904762,0.4404852160727824,"FF","4-Seam Fastball",17.6,-16.2,-1.3,"-8",15.5,9,-6.8,2.3,"33",0.25980392156862747,0.7720588235294118
"2026","Blubaugh, AJ","805123","Astros","HOU","R","95.6","581","1138",10.735849056603774,0.5105448154657294,"FF","4-Seam Fastball",13.3,-13.7,0.3,"2",16.8,11,-7,3.9,"56",0.5857843137254902,0.9240196078431373
"2026","Scott, Christian","681035","Mets","NYM","R","95.4","575","1167",11.114285714285714,0.49271636675235647,"FF","4-Seam Fastball",15,-15,0,"0",15.2,9.7,-8.9,0.8,"9",0.5245098039215687,0.5882352941176471
"2026","Ashcraft, Braxton","677952","Pirates","PIT","R","97.2","566","1775",16.904761904761905,0.3188732394366197,"FF","4-Seam Fastball",13.5,-12.9,-0.6,"-5",15.4,9.4,-7.1,2.3,"33",0.4019607843137255,0.7720588235294118
"2026","Pallante, Andre","669467","Cardinals","STL","R","95.2","561","1825",17.548076923076923,0.30739726027397263,"FF","4-Seam Fastball",18.1,-13.9,-4.2,"-30",12,0.6,-7.1,-6.5,"-91",0.03431372549019608,0.012254901960784314
"2026","McClanahan, Shane","663556","Rays","TB","L","95.6","560","1498",14.403846153846153,0.37383177570093457,"FF","4-Seam Fastball",14.1,-13.3,-0.8,"-6",16,9.4,-6.6,2.9,"44",0.3627450980392157,0.8529411764705882
"2026","Wheeler, Zack","554430","Phillies","PHI","R","95.2","556","1546",14.723809523809523,0.35963777490297544,"FF","4-Seam Fastball",15.9,-15.9,-0.1,"0",14.2,11.8,-10.3,1.5,"14",0.49264705882352944,0.6593137254901961
"2026","Keller, Mitch","656605","Pirates","PIT","R","93.4","546","1735",16.523809523809526,0.31469740634005766,"FF","4-Seam Fastball",16.1,-15.3,-0.8,"-5",15.2,8.7,-7.6,1.1,"15",0.3627450980392157,0.6274509803921569
"2026","Manaea, Sean","640455","Mets","NYM","L","90.7","538","1519",14.466666666666667,0.35418038183015144,"FF","4-Seam Fastball",22.6,-19,-3.6,"-19",10.7,13.7,-9.5,4.2,"44",0.0661764705882353,0.9411764705882353
"2026","Leiter, Jack","683004","Rangers","TEX","R","96.7","538","1397",13.432692307692308,0.3851109520400859,"FF","4-Seam Fastball",12,-13.7,1.7,"12",17.4,8.1,-7.9,0.2,"3",0.8774509803921569,0.5073529411764706
"2026","Early, Connelly","813349","Red Sox","BOS","L","94","536","1528",14.83495145631068,0.3507853403141361,"FF","4-Seam Fastball",15.2,-15.3,0.1,"1",16,10.5,-8.1,2.5,"31",0.5416666666666666,0.8112745098039216
"2026","Fuentes, Didier","800311","Braves","ATL","R","97.2","532","760",7.3076923076923075,0.7,"FF","4-Seam Fastball",14.3,-15.1,0.7,"5",14.7,10.5,-10.1,0.3,"3",0.6813725490196079,0.5196078431372549
"2026","Liberatore, Matthew","669461","Cardinals","STL","L","94.4","531","1668",16.03846153846154,0.3183453237410072,"FF","4-Seam Fastball",14.1,-13.6,-0.5,"-4",16.6,6.4,-6,0.3,"6",0.42401960784313725,0.5196078431372549
"2026","Wacha, Michael","608379","Royals","KC","R","93.1","528","1970",18.58490566037736,0.26802030456852793,"FF","4-Seam Fastball",13.4,-14.1,0.7,"5",18.3,5.5,-5.8,-0.3,"-5",0.6813725490196079,0.4411764705882353
"2026","Kirby, George","669923","Mariners","SEA","R","96.6","514","1748",16.64761904761905,0.2940503432494279,"FF","4-Seam Fastball",15.9,-13.6,-2.4,"-17",13.4,9.1,-7.6,1.4,"19",0.13480392156862744,0.6495098039215687
"2026","Luzardo, Jesús","666200","Phillies","PHI","L","97","511","2031",19.34285714285714,0.2516001969473166,"FF","4-Seam Fastball",15.3,-14.3,-1,"-7",13.9,11.7,-8.7,3,"34",0.3161764705882353,0.8676470588235294
"2026","Harris, Hogan","663687","Athletics","ATH","L","95.1","505","870",8.365384615384615,0.5804597701149425,"FF","4-Seam Fastball",12.5,-13.9,1.4,"10",17.9,8.1,-7,1,"14",0.8333333333333334,0.6151960784313726
"2026","Lambert, Peter","663567","Astros","HOU","R","93.9","504","1618",15.264150943396226,0.311495673671199,"FF","4-Seam Fastball",13.6,-14.6,1,"7",17.6,8.3,-7.1,1.2,"17",0.7377450980392157,0.6397058823529411
"2026","Cameron, Noah","702070","Royals","KC","L","92.4","499","1843",17.38679245283019,0.27075420510037984,"FF","4-Seam Fastball",15,-15.1,0.1,"1",17,6.2,-6.8,-0.5,"-8",0.5416666666666666,0.41421568627450983
"2026","Skubal, Tarik","669373","Tigers","DET","L","96.7","496","1339",12.752380952380953,0.3704256908140403,"FF","4-Seam Fastball",12.2,-12.9,0.8,"6",17.1,3.6,-6.8,-3.2,"-47",0.7132352941176471,0.14215686274509803
