"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
500779,"Quintana, Jose","L",687,115,"42.0",1.9226822370292915,5.75395924308588,0.2732525163009494,4.266312087222079
518585,"Cruz, Fernando","R",749,147,"47.4",-1.531680267810836,5.984619492656876,-0.04488084492930562,4.367545701577147
518876,"Kelly, Merrill","R",1651,109,"23.5",-2.304265750862283,5.413155663234403,-0.26270469676995845,4.523404132427708
519242,"Sale, Chris","L",1770,144,"10.7",3.212498481818818,4.825282485875706,0.8357841071230753,4.377174233763356
527048,"Pérez, Martín","L",1357,144,"44.7",1.6464867741760065,5.585475313190862,0.018773053172498312,3.9737063205639997
543037,"Cole, Gerrit","R",934,147,"37.0",-2.060604459726043,5.780449678800856,-0.2711616528682721,4.432654794989828
543135,"Eovaldi, Nathan","R",1736,140,"37.1",-2.3518372769098828,5.708064516129032,-0.4220010481612,4.2502269478465875
543243,"Gray, Sonny","R",1481,111,"47.2",-1.2797380732500379,5.53611748818366,0.15493050631829677,3.986893033384246
547179,"Lorenzen, Michael","R",1840,115,"39.3",-1.7891757321940558,5.687005434782609,0.014527309201348525,4.205965147397892
554430,"Wheeler, Zack","R",1546,143,"22.2",-2.7738511517743496,4.9766170763260025,-0.488178845470918,4.045358287271159
571510,"Boyd, Matthew","L",955,112,"23.7",2.630065746328891,5.378848167539267,0.36175776996948233,4.384267363440379
571578,"Corbin, Patrick","L",1397,141,"38.3",1.88093980902085,6.261868289191124,0.03419313361838521,4.804415312542665
571927,"Matz, Steven","L",914,139,"34.0",2.0803881999715923,5.744682713347921,0.1394075688341778,4.434255975184982
571945,"Mikolas, Miles","R",1537,120,"43.7",-1.8789305954391038,6.586968119713728,-0.03206267284579887,4.817424811338151
573124,"Rogers, Taylor","L",652,142,"28.8",1.905864903713058,5.5620245398773,-0.14416077611189484,4.435566518623624
592332,"Gausman, Kevin","R",1948,141,"37.3",-2.0172029900780024,5.770770020533881,-0.12075831475767458,4.32783780329567
592662,"Ray, Robbie","L",1895,137,"44.3",1.7557592460921816,6.112358839050132,0.1425877704250326,4.53820388130882
592773,"Stanek, Ryne","R",723,138,"46.2",-1.3503306880288217,6.352392807745505,0.32842374242794065,4.601482295742389
